Mooring input file 'MooringTest/cable.dat' loaded successfully.
------------------------------------------------------
attempting to load saved_runs/cable_outputs/cablev2old_Line1.out
attempting to load saved_runs/cable_outputs/cablev2old_Line2.out
attempting to load saved_runs/cable_outputs/cablev2old_Line3.out
attempting to load saved_runs/cable_outputs/cabledev2_Line1.out
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-682.155    0.    -578.658]
position2 (test):  [-682.155    0.    -578.658]
position1 (control):  [-682.155    0.    -578.658]
position2 (test):  [-682.155    0.    -578.658]
position1 (control):  [-682.155    0.    -578.658]
position2 (test):  [-682.155    0.    -578.658]
position1 (control):  [-663.09     0.    -572.611]
position2 (test):  [-663.09    0.   -572.61]
position1 (control):  [-663.09     0.    -572.611]
position2 (test):  [-663.09    0.   -572.61]
position1 (control):  [-663.09     0.    -572.611]
position2 (test):  [-663.09    0.   -572.61]
position1 (control):  [-663.09     0.    -572.611]
position2 (test):  [-663.09    0.   -572.61]
position1 (control):  [-644.247    0.    -565.904]
position2 (test):  [-644.247    0.    -565.904]
position1 (control):  [-644.247    0.    -565.904]
position2 (test):  [-644.247    0.    -565.904]
position1 (control):  [-644.247    0.    -565.904]
position2 (test):  [-644.247    0.    -565.904]
position1 (control):  [-644.247    0.    -565.904]
position2 (test):  [-644.247    0.    -565.904]
position1 (control):  [-625.642    0.    -558.563]
position2 (test):  [-625.642    0.    -558.563]
position1 (control):  [-625.642    0.    -558.563]
position2 (test):  [-625.642    0.    -558.563]
position1 (control):  [-625.642    0.    -558.563]
position2 (test):  [-625.642    0.    -558.563]
position1 (control):  [-625.642    0.    -558.563]
position2 (test):  [-625.642    0.    -558.563]
position1 (control):  [-607.289    0.    -550.612]
position2 (test):  [-607.289    0.    -550.612]
position1 (control):  [-607.289    0.    -550.612]
position2 (test):  [-607.289    0.    -550.612]
position1 (control):  [-607.289    0.    -550.612]
position2 (test):  [-607.289    0.    -550.612]
position1 (control):  [-607.289    0.    -550.612]
position2 (test):  [-607.289    0.    -550.612]
position1 (control):  [-589.2      0.    -542.076]
position2 (test):  [-589.2      0.    -542.075]
position1 (control):  [-589.2      0.    -542.076]
position2 (test):  [-589.2      0.    -542.075]
position1 (control):  [-589.2      0.    -542.076]
position2 (test):  [-589.2      0.    -542.075]
position1 (control):  [-589.2      0.    -542.076]
position2 (test):  [-589.2      0.    -542.075]
position1 (control):  [-571.386    0.    -532.98 ]
position2 (test):  [-571.386    0.    -532.98 ]
position1 (control):  [-571.386    0.    -532.98 ]
position2 (test):  [-571.386    0.    -532.98 ]
position1 (control):  [-571.386    0.    -532.98 ]
position2 (test):  [-571.386    0.    -532.98 ]
position1 (control):  [-571.386    0.    -532.98 ]
position2 (test):  [-571.386    0.    -532.98 ]
position1 (control):  [-553.855    0.    -523.351]
position2 (test):  [-553.855    0.    -523.35 ]
position1 (control):  [-553.855    0.    -523.351]
position2 (test):  [-553.855    0.    -523.35 ]
position1 (control):  [-553.855    0.    -523.351]
position2 (test):  [-553.855    0.    -523.35 ]
position1 (control):  [-553.855    0.    -523.351]
position2 (test):  [-553.855    0.    -523.35 ]
position1 (control):  [-536.613    0.    -513.213]
position2 (test):  [-536.613    0.    -513.213]
position1 (control):  [-536.613    0.    -513.213]
position2 (test):  [-536.613    0.    -513.213]
position1 (control):  [-536.613    0.    -513.213]
position2 (test):  [-536.613    0.    -513.213]
position1 (control):  [-536.613    0.    -513.213]
position2 (test):  [-536.613    0.    -513.213]
position1 (control):  [-519.664    0.    -502.592]
position2 (test):  [-519.664    0.    -502.592]
position1 (control):  [-519.664    0.    -502.592]
position2 (test):  [-519.664    0.    -502.592]
position1 (control):  [-519.664    0.    -502.592]
position2 (test):  [-519.664    0.    -502.592]
position1 (control):  [-519.664    0.    -502.592]
position2 (test):  [-519.664    0.    -502.592]
position1 (control):  [-503.011    0.    -491.513]
position2 (test):  [-503.011    0.    -491.513]
position1 (control):  [-503.011    0.    -491.513]
position2 (test):  [-503.011    0.    -491.513]
position1 (control):  [-503.011    0.    -491.513]
position2 (test):  [-503.011    0.    -491.513]
position1 (control):  [-503.011    0.    -491.513]
position2 (test):  [-503.011    0.    -491.513]
position1 (control):  [-486.655    0.    -479.999]
position2 (test):  [-486.655    0.    -479.999]
position1 (control):  [-486.655    0.    -479.999]
position2 (test):  [-486.655    0.    -479.999]
position1 (control):  [-486.655    0.    -479.999]
position2 (test):  [-486.655    0.    -479.999]
position1 (control):  [-486.655    0.    -479.999]
position2 (test):  [-486.655    0.    -479.999]
position1 (control):  [-470.597    0.    -468.073]
position2 (test):  [-470.597    0.    -468.073]
position1 (control):  [-470.597    0.    -468.073]
position2 (test):  [-470.597    0.    -468.073]
position1 (control):  [-470.597    0.    -468.073]
position2 (test):  [-470.597    0.    -468.073]
position1 (control):  [-470.597    0.    -468.073]
position2 (test):  [-470.597    0.    -468.073]
position1 (control):  [-454.836    0.    -455.758]
position2 (test):  [-454.836    0.    -455.758]
position1 (control):  [-454.836    0.    -455.758]
position2 (test):  [-454.836    0.    -455.758]
position1 (control):  [-454.836    0.    -455.758]
position2 (test):  [-454.836    0.    -455.758]
position1 (control):  [-454.836    0.    -455.758]
position2 (test):  [-454.836    0.    -455.758]
position1 (control):  [-439.369    0.    -443.075]
position2 (test):  [-439.369    0.    -443.075]
position1 (control):  [-439.369    0.    -443.075]
position2 (test):  [-439.369    0.    -443.075]
position1 (control):  [-439.369    0.    -443.075]
position2 (test):  [-439.369    0.    -443.075]
position1 (control):  [-439.369    0.    -443.075]
position2 (test):  [-439.369    0.    -443.075]
position1 (control):  [-424.193    0.    -430.044]
position2 (test):  [-424.193    0.    -430.044]
position1 (control):  [-424.193    0.    -430.044]
position2 (test):  [-424.193    0.    -430.044]
position1 (control):  [-424.193    0.    -430.044]
position2 (test):  [-424.193    0.    -430.044]
position1 (control):  [-424.193    0.    -430.044]
position2 (test):  [-424.193    0.    -430.044]
position1 (control):  [-409.306    0.    -416.685]
position2 (test):  [-409.306    0.    -416.685]
position1 (control):  [-409.306    0.    -416.685]
position2 (test):  [-409.306    0.    -416.685]
position1 (control):  [-409.306    0.    -416.685]
position2 (test):  [-409.306    0.    -416.685]
position1 (control):  [-409.306    0.    -416.685]
position2 (test):  [-409.306    0.    -416.685]
position1 (control):  [-394.703    0.    -403.016]
position2 (test):  [-394.703    0.    -403.016]
position1 (control):  [-394.703    0.    -403.016]
position2 (test):  [-394.703    0.    -403.016]
position1 (control):  [-394.703    0.    -403.016]
position2 (test):  [-394.703    0.    -403.016]
position1 (control):  [-394.703    0.    -403.016]
position2 (test):  [-394.703    0.    -403.016]
position1 (control):  [-380.379    0.    -389.054]
position2 (test):  [-380.379    0.    -389.054]
position1 (control):  [-380.379    0.    -389.054]
position2 (test):  [-380.379    0.    -389.054]
position1 (control):  [-380.379    0.    -389.054]
position2 (test):  [-380.379    0.    -389.054]
position1 (control):  [-380.379    0.    -389.054]
position2 (test):  [-380.379    0.    -389.054]
position1 (control):  [-366.329    0.    -374.816]
position2 (test):  [-366.33     0.    -374.816]
position1 (control):  [-366.329    0.    -374.816]
position2 (test):  [-366.33     0.    -374.816]
position1 (control):  [-366.329    0.    -374.816]
position2 (test):  [-366.33     0.    -374.816]
position1 (control):  [-366.329    0.    -374.816]
position2 (test):  [-366.33     0.    -374.816]
position1 (control):  [-352.549    0.    -360.318]
position2 (test):  [-352.549    0.    -360.318]
position1 (control):  [-352.549    0.    -360.318]
position2 (test):  [-352.549    0.    -360.318]
position1 (control):  [-352.549    0.    -360.318]
position2 (test):  [-352.549    0.    -360.318]
position1 (control):  [-352.549    0.    -360.318]
position2 (test):  [-352.549    0.    -360.318]
position1 (control):  [-339.031    0.    -345.574]
position2 (test):  [-339.031    0.    -345.574]
position1 (control):  [-339.031    0.    -345.574]
position2 (test):  [-339.031    0.    -345.574]
position1 (control):  [-339.031    0.    -345.574]
position2 (test):  [-339.031    0.    -345.574]
position1 (control):  [-339.031    0.    -345.574]
position2 (test):  [-339.031    0.    -345.574]
position1 (control):  [-325.771    0.    -330.598]
position2 (test):  [-325.771    0.    -330.598]
position1 (control):  [-325.771    0.    -330.598]
position2 (test):  [-325.771    0.    -330.598]
position1 (control):  [-325.771    0.    -330.598]
position2 (test):  [-325.771    0.    -330.598]
position1 (control):  [-325.771    0.    -330.598]
position2 (test):  [-325.771    0.    -330.598]
position1 (control):  [-312.763    0.    -315.402]
position2 (test):  [-312.763    0.    -315.402]
position1 (control):  [-312.763    0.    -315.402]
position2 (test):  [-312.763    0.    -315.402]
position1 (control):  [-312.763    0.    -315.402]
position2 (test):  [-312.763    0.    -315.402]
position1 (control):  [-312.763    0.    -315.402]
position2 (test):  [-312.763    0.    -315.402]
attempting to load saved_runs/cable_outputs/cabledev2_Line2.out
position1 (control):  [-300.    0. -300.]
position2 (test):  [-300.    0. -300.]
position1 (control):  [-300.    0. -300.]
position2 (test):  [-300.    0. -300.]
position1 (control):  [-300.    0. -300.]
position2 (test):  [-300.    0. -300.]
position1 (control):  [-300.    0. -300.]
position2 (test):  [-300.    0. -300.]
position1 (control):  [-294.041    0.    -286.235]
position2 (test):  [-290.    0. -300.]
position1 (control):  [-294.041    0.    -286.235]
position2 (test):  [-290.    0. -300.]
position1 (control):  [-294.041    0.    -286.235]
position2 (test):  [-290.    0. -300.]
position1 (control):  [-294.041    0.    -286.235]
position2 (test):  [-290.    0. -300.]
position1 (control):  [-287.507    0.    -272.734]
position2 (test):  [-280.    0. -300.]
position1 (control):  [-287.507    0.    -272.734]
position2 (test):  [-280.    0. -300.]
position1 (control):  [-287.507    0.    -272.734]
position2 (test):  [-280.    0. -300.]
position1 (control):  [-287.507    0.    -272.734]
position2 (test):  [-280.    0. -300.]
position1 (control):  [-280.293    0.    -259.584]
position2 (test):  [-270.    0. -300.]
position1 (control):  [-280.293    0.    -259.584]
position2 (test):  [-270.    0. -300.]
position1 (control):  [-280.293    0.    -259.584]
position2 (test):  [-270.    0. -300.]
position1 (control):  [-280.293    0.    -259.584]
position2 (test):  [-270.    0. -300.]
position1 (control):  [-272.271    0.    -246.913]
position2 (test):  [-260.    0. -300.]
position1 (control):  [-272.271    0.    -246.913]
position2 (test):  [-260.    0. -300.]
position1 (control):  [-272.271    0.    -246.913]
position2 (test):  [-260.    0. -300.]
position1 (control):  [-272.271    0.    -246.913]
position2 (test):  [-260.    0. -300.]
position1 (control):  [-263.285    0.    -234.908]
position2 (test):  [-250.    0. -300.]
position1 (control):  [-263.285    0.    -234.908]
position2 (test):  [-250.    0. -300.]
position1 (control):  [-263.285    0.    -234.908]
position2 (test):  [-250.    0. -300.]
position1 (control):  [-263.285    0.    -234.908]
position2 (test):  [-250.    0. -300.]
position1 (control):  [-253.162    0.    -223.849]
position2 (test):  [-240.    0. -300.]
position1 (control):  [-253.162    0.    -223.849]
position2 (test):  [-240.    0. -300.]
position1 (control):  [-253.162    0.    -223.849]
position2 (test):  [-240.    0. -300.]
position1 (control):  [-253.162    0.    -223.849]
position2 (test):  [-240.    0. -300.]
position1 (control):  [-241.738    0.    -214.147]
position2 (test):  [-230.    0. -300.]
position1 (control):  [-241.738    0.    -214.147]
position2 (test):  [-230.    0. -300.]
position1 (control):  [-241.738    0.    -214.147]
position2 (test):  [-230.    0. -300.]
position1 (control):  [-241.738    0.    -214.147]
position2 (test):  [-230.    0. -300.]
position1 (control):  [-228.927    0.    -206.382]
position2 (test):  [-220.    0. -300.]
position1 (control):  [-228.927    0.    -206.382]
position2 (test):  [-220.    0. -300.]
position1 (control):  [-228.927    0.    -206.382]
position2 (test):  [-220.    0. -300.]
position1 (control):  [-228.927    0.    -206.382]
position2 (test):  [-220.    0. -300.]
position1 (control):  [-214.856    0.    -201.268]
position2 (test):  [-210.    0. -300.]
position1 (control):  [-214.856    0.    -201.268]
position2 (test):  [-210.    0. -300.]
position1 (control):  [-214.856    0.    -201.268]
position2 (test):  [-210.    0. -300.]
position1 (control):  [-214.856    0.    -201.268]
position2 (test):  [-210.    0. -300.]
position1 (control):  [-200.      0.   -199.47]
position2 (test):  [-200.    0. -300.]
position1 (control):  [-200.      0.   -199.47]
position2 (test):  [-200.    0. -300.]
position1 (control):  [-200.      0.   -199.47]
position2 (test):  [-200.    0. -300.]
position1 (control):  [-200.      0.   -199.47]
position2 (test):  [-200.    0. -300.]
position1 (control):  [-185.144    0.    -201.268]
position2 (test):  [-190.    0. -300.]
position1 (control):  [-185.144    0.    -201.268]
position2 (test):  [-190.    0. -300.]
position1 (control):  [-185.144    0.    -201.268]
position2 (test):  [-190.    0. -300.]
position1 (control):  [-185.144    0.    -201.268]
position2 (test):  [-190.    0. -300.]
position1 (control):  [-171.073    0.    -206.382]
position2 (test):  [-180.    0. -300.]
position1 (control):  [-171.073    0.    -206.382]
position2 (test):  [-180.    0. -300.]
position1 (control):  [-171.073    0.    -206.382]
position2 (test):  [-180.    0. -300.]
position1 (control):  [-171.073    0.    -206.382]
position2 (test):  [-180.    0. -300.]
position1 (control):  [-158.262    0.    -214.147]
position2 (test):  [-170.    0. -300.]
position1 (control):  [-158.262    0.    -214.147]
position2 (test):  [-170.    0. -300.]
position1 (control):  [-158.262    0.    -214.147]
position2 (test):  [-170.    0. -300.]
position1 (control):  [-158.262    0.    -214.147]
position2 (test):  [-170.    0. -300.]
position1 (control):  [-146.838    0.    -223.849]
position2 (test):  [-160.    0. -300.]
position1 (control):  [-146.838    0.    -223.849]
position2 (test):  [-160.    0. -300.]
position1 (control):  [-146.838    0.    -223.849]
position2 (test):  [-160.    0. -300.]
position1 (control):  [-146.838    0.    -223.849]
position2 (test):  [-160.    0. -300.]
position1 (control):  [-136.715    0.    -234.908]
position2 (test):  [-150.    0. -300.]
position1 (control):  [-136.715    0.    -234.908]
position2 (test):  [-150.    0. -300.]
position1 (control):  [-136.715    0.    -234.908]
position2 (test):  [-150.    0. -300.]
position1 (control):  [-136.715    0.    -234.908]
position2 (test):  [-150.    0. -300.]
position1 (control):  [-127.729    0.    -246.913]
position2 (test):  [-140.    0. -300.]
position1 (control):  [-127.729    0.    -246.913]
position2 (test):  [-140.    0. -300.]
position1 (control):  [-127.729    0.    -246.913]
position2 (test):  [-140.    0. -300.]
position1 (control):  [-127.729    0.    -246.913]
position2 (test):  [-140.    0. -300.]
position1 (control):  [-119.707    0.    -259.584]
position2 (test):  [-130.    0. -300.]
position1 (control):  [-119.707    0.    -259.584]
position2 (test):  [-130.    0. -300.]
position1 (control):  [-119.707    0.    -259.584]
position2 (test):  [-130.    0. -300.]
position1 (control):  [-119.707    0.    -259.584]
position2 (test):  [-130.    0. -300.]
position1 (control):  [-112.493    0.    -272.734]
position2 (test):  [-120.    0. -300.]
position1 (control):  [-112.493    0.    -272.734]
position2 (test):  [-120.    0. -300.]
position1 (control):  [-112.493    0.    -272.734]
position2 (test):  [-119.999    0.    -300.   ]
position1 (control):  [-112.494    0.    -272.732]
position2 (test):  [-119.997    0.    -300.   ]
position1 (control):  [-105.959    0.    -286.235]
position2 (test):  [-110.    0. -300.]
position1 (control):  [-105.959    0.    -286.235]
position2 (test):  [-110.    0. -300.]
position1 (control):  [-105.959    0.    -286.235]
position2 (test):  [-109.992    0.    -300.   ]
position1 (control):  [-105.969    0.    -286.213]
position2 (test):  [-109.982    0.    -300.   ]
attempting to load saved_runs/cable_outputs/cabledev2_Line3.out
position1 (control):  [-100.    0. -300.]
position2 (test):  [-100.    0. -300.]
position1 (control):  [-100.    0. -300.]
position2 (test):  [ -99.9737    0.     -299.921 ]
position1 (control):  [ -99.9734    0.     -299.921 ]
position2 (test):  [ -99.9371    0.     -299.783 ]
position1 (control):  [ -99.8622    0.     -299.78  ]
position2 (test):  [ -99.904    0.    -299.644]
position1 (control):  [ -94.9991    0.     -285.001 ]
position2 (test):  [ -95.    0. -285.]
position1 (control):  [ -94.9991    0.     -285.001 ]
position2 (test):  [ -95.    0. -285.]
position1 (control):  [ -94.9991    0.     -285.001 ]
position2 (test):  [ -94.9903    0.     -284.971 ]
position1 (control):  [ -94.986    0.    -284.961]
position2 (test):  [ -94.9751    0.     -284.925 ]
position1 (control):  [ -89.9984    0.     -270.001 ]
position2 (test):  [ -90.    0. -270.]
position1 (control):  [ -89.9984    0.     -270.001 ]
position2 (test):  [ -90.    0. -270.]
position1 (control):  [ -89.9984    0.     -270.001 ]
position2 (test):  [ -89.9992    0.     -269.998 ]
position1 (control):  [ -89.9976    0.     -269.999 ]
position2 (test):  [ -89.9954    0.     -269.986 ]
position1 (control):  [ -84.9977    0.     -255.002 ]
position2 (test):  [ -85.    0. -255.]
position1 (control):  [ -84.9977    0.     -255.002 ]
position2 (test):  [ -85.    0. -255.]
position1 (control):  [ -84.9977    0.     -255.002 ]
position2 (test):  [ -85.    0. -255.]
position1 (control):  [ -84.9977    0.     -255.002 ]
position2 (test):  [ -84.9995    0.     -254.999 ]
position1 (control):  [ -79.9971    0.     -240.002 ]
position2 (test):  [ -80.    0. -240.]
position1 (control):  [ -79.9971    0.     -240.002 ]
position2 (test):  [ -80.    0. -240.]
position1 (control):  [ -79.9971    0.     -240.002 ]
position2 (test):  [ -80.    0. -240.]
position1 (control):  [ -79.9971    0.     -240.002 ]
position2 (test):  [ -80.    0. -240.]
position1 (control):  [ -74.9966    0.     -225.003 ]
position2 (test):  [ -75.    0. -225.]
position1 (control):  [ -74.9966    0.     -225.003 ]
position2 (test):  [ -75.    0. -225.]
position1 (control):  [ -74.9966    0.     -225.003 ]
position2 (test):  [ -75.    0. -225.]
position1 (control):  [ -74.9966    0.     -225.003 ]
position2 (test):  [ -75.    0. -225.]
position1 (control):  [ -69.9962    0.     -210.003 ]
position2 (test):  [ -70.    0. -210.]
position1 (control):  [ -69.9962    0.     -210.003 ]
position2 (test):  [ -70.    0. -210.]
position1 (control):  [ -69.9962    0.     -210.003 ]
position2 (test):  [ -70.    0. -210.]
position1 (control):  [ -69.9962    0.     -210.003 ]
position2 (test):  [ -70.    0. -210.]
position1 (control):  [ -64.9959    0.     -195.003 ]
position2 (test):  [ -65.    0. -195.]
position1 (control):  [ -64.9959    0.     -195.003 ]
position2 (test):  [ -65.    0. -195.]
position1 (control):  [ -64.9959    0.     -195.003 ]
position2 (test):  [ -65.    0. -195.]
position1 (control):  [ -64.9959    0.     -195.003 ]
position2 (test):  [ -65.    0. -195.]
position1 (control):  [ -59.9956    0.     -180.003 ]
position2 (test):  [ -60.    0. -180.]
position1 (control):  [ -59.9956    0.     -180.003 ]
position2 (test):  [ -60.    0. -180.]
position1 (control):  [ -59.9956    0.     -180.003 ]
position2 (test):  [ -60.    0. -180.]
position1 (control):  [ -59.9956    0.     -180.003 ]
position2 (test):  [ -60.    0. -180.]
position1 (control):  [ -54.9955    0.     -165.003 ]
position2 (test):  [ -55.    0. -165.]
position1 (control):  [ -54.9955    0.     -165.003 ]
position2 (test):  [ -55.    0. -165.]
position1 (control):  [ -54.9955    0.     -165.003 ]
position2 (test):  [ -55.    0. -165.]
position1 (control):  [ -54.9955    0.     -165.003 ]
position2 (test):  [ -55.    0. -165.]
position1 (control):  [ -49.9954    0.     -150.003 ]
position2 (test):  [ -50.    0. -150.]
position1 (control):  [ -49.9954    0.     -150.003 ]
position2 (test):  [ -50.    0. -150.]
position1 (control):  [ -49.9954    0.     -150.003 ]
position2 (test):  [ -50.    0. -150.]
position1 (control):  [ -49.9954    0.     -150.003 ]
position2 (test):  [ -50.    0. -150.]
position1 (control):  [ -44.9955    0.     -135.003 ]
position2 (test):  [ -45.    0. -135.]
position1 (control):  [ -44.9955    0.     -135.003 ]
position2 (test):  [ -45.    0. -135.]
position1 (control):  [ -44.9955    0.     -135.003 ]
position2 (test):  [ -45.    0. -135.]
position1 (control):  [ -44.9955    0.     -135.003 ]
position2 (test):  [ -45.    0. -135.]
position1 (control):  [ -39.9956    0.     -120.003 ]
position2 (test):  [ -40.    0. -120.]
position1 (control):  [ -39.9956    0.     -120.003 ]
position2 (test):  [ -40.    0. -120.]
position1 (control):  [ -39.9956    0.     -120.003 ]
position2 (test):  [ -40.    0. -120.]
position1 (control):  [ -39.9956    0.     -120.003 ]
position2 (test):  [ -40.    0. -120.]
position1 (control):  [ -34.9959    0.     -105.003 ]
position2 (test):  [ -35.    0. -105.]
position1 (control):  [ -34.9959    0.     -105.003 ]
position2 (test):  [ -35.    0. -105.]
position1 (control):  [ -34.9959    0.     -105.003 ]
position2 (test):  [ -35.    0. -105.]
position1 (control):  [ -34.9959    0.     -105.003 ]
position2 (test):  [ -35.    0. -105.]
position1 (control):  [-29.9962   0.     -90.0029]
position2 (test):  [-30.   0. -90.]
position1 (control):  [-29.9962   0.     -90.0029]
position2 (test):  [-30.   0. -90.]
position1 (control):  [-29.9962   0.     -90.0029]
position2 (test):  [-30.   0. -90.]
position1 (control):  [-29.9962   0.     -90.0029]
position2 (test):  [-30.   0. -90.]
position1 (control):  [-24.9966   0.     -75.0026]
position2 (test):  [-25.   0. -75.]
position1 (control):  [-24.9966   0.     -75.0026]
position2 (test):  [-25.   0. -75.]
position1 (control):  [-24.9966   0.     -75.0026]
position2 (test):  [-25.   0. -75.]
position1 (control):  [-24.9966   0.     -75.0026]
position2 (test):  [-25.   0. -75.]
position1 (control):  [-19.9971   0.     -60.0022]
position2 (test):  [-20.   0. -60.]
position1 (control):  [-19.9971   0.     -60.0022]
position2 (test):  [-20.   0. -60.]
position1 (control):  [-19.9971   0.     -60.0022]
position2 (test):  [-20.   0. -60.]
position1 (control):  [-19.9971   0.     -60.0022]
position2 (test):  [-20.   0. -60.]
position1 (control):  [-14.9977   0.     -45.0018]
position2 (test):  [-15.   0. -45.]
position1 (control):  [-14.9977   0.     -45.0018]
position2 (test):  [-15.   0. -45.]
position1 (control):  [-14.9977   0.     -45.0018]
position2 (test):  [-15.   0. -45.]
position1 (control):  [-14.9977   0.     -45.0018]
position2 (test):  [-15.   0. -45.]
position1 (control):  [ -9.99836   0.      -30.0013 ]
position2 (test):  [-10.   0. -30.]
position1 (control):  [ -9.99836   0.      -30.0013 ]
position2 (test):  [-10.   0. -30.]
position1 (control):  [ -9.99836   0.      -30.0013 ]
position2 (test):  [-10.   0. -30.]
position1 (control):  [ -9.99836   0.      -30.0013 ]
position2 (test):  [-10.   0. -30.]
position1 (control):  [ -4.99913   0.      -15.0007 ]
position2 (test):  [ -5.   0. -15.]
position1 (control):  [ -4.99913   0.      -15.0007 ]
position2 (test):  [ -5.   0. -15.]
position1 (control):  [ -4.99913   0.      -15.0007 ]
position2 (test):  [ -5.   0. -15.]
position1 (control):  [ -4.99913   0.      -15.0007 ]
position2 (test):  [ -5.   0. -15.]
------------end--------------
rdavies-33752s:testing rdavies$ 
